timestamp,Watt,Temp,Vin,Vout
2026-01-27T20:25:25.585568,120.0,22.3,101.6,99.9
2026-01-27T20:26:26.006177,120.0,22.2,101.4,99.9
2026-01-27T20:27:26.425462,128.0,21.8,101.6,99.9
2026-01-27T20:28:26.874678,152.0,21.6,101.6,99.9
2026-01-27T20:29:27.293855,120.0,21.3,101.4,99.9
2026-01-27T20:30:27.715536,112.0,21.0,101.5,99.9
2026-01-27T20:31:28.133674,176.0,20.8,101.4,99.9
2026-01-27T20:32:28.555888,120.0,20.6,101.2,99.9
2026-01-27T20:33:28.977872,128.0,20.4,101.3,99.9
2026-01-27T20:34:29.398890,120.0,20.5,101.2,99.9
2026-01-27T20:35:29.818275,128.0,20.6,101.3,99.9
2026-01-27T20:36:30.238954,128.0,21.0,101.3,100.0
2026-01-27T20:37:30.687275,128.0,21.3,101.3,99.9
2026-01-27T20:38:31.108685,128.0,21.7,101.3,99.9
2026-01-27T20:39:31.527879,152.0,21.8,101.1,99.9
2026-01-27T20:40:31.949132,128.0,22.1,101.0,99.9
2026-01-27T20:41:32.367305,120.0,22.2,100.9,99.9
2026-01-27T20:42:32.785785,120.0,22.2,100.8,99.9
2026-01-27T20:43:33.204067,120.0,22.4,101.0,99.9
2026-01-27T20:44:33.644978,120.0,22.3,100.9,99.9
2026-01-27T20:45:34.063736,120.0,22.4,101.0,99.9
2026-01-27T20:46:34.483981,128.0,22.3,101.2,99.9
2026-01-27T20:47:34.905068,120.0,22.0,101.3,99.9
2026-01-27T20:48:35.324679,128.0,21.7,101.2,99.9
2026-01-27T20:49:35.745219,128.0,21.4,101.3,99.9
2026-01-27T20:50:36.164881,120.0,21.2,101.5,99.9
2026-01-27T20:51:36.586394,120.0,20.9,101.7,99.9
2026-01-27T20:52:37.005984,120.0,20.7,101.4,99.8
2026-01-27T20:53:37.425724,120.0,20.5,101.4,99.9
2026-01-27T20:54:37.845096,120.0,20.6,100.9,99.9
2026-01-27T20:55:38.265222,120.0,20.8,101.1,99.9
2026-01-27T20:56:38.685566,128.0,21.1,101.2,99.9
2026-01-27T20:57:39.109957,136.0,21.4,101.4,99.9
2026-01-27T20:58:39.533636,120.0,21.6,101.3,99.9
2026-01-27T20:59:39.972660,120.0,21.8,101.3,99.9
2026-01-27T21:00:40.392902,120.0,21.9,101.2,99.9
2026-01-27T21:01:40.812671,120.0,22.1,101.7,99.9
2026-01-27T21:02:41.235924,128.0,22.2,101.5,99.9
2026-01-27T21:03:41.658143,120.0,22.2,101.4,99.9
2026-01-27T21:04:42.077778,128.0,22.4,101.3,99.9
2026-01-27T21:05:42.496182,128.0,22.5,101.6,99.9
2026-01-27T21:06:42.937067,128.0,22.5,101.4,99.9
2026-01-27T21:07:43.357090,144.0,22.5,101.3,99.9
